,0
0,Pre/Pro B cells
1,Liver Sinusoidal Endothelial Cells (LSECs)
2,Neutrophils
3,Hepatocytes
4,NK cells
6,Kupffer Cells
7,Proliferating Lymphocytes
8,Erythroid Cells
9,Erythroid Progenitors/Reticulocytes
10,Hepatocytes
11,Erythroid Progenitors/Reticulocytes
13,Monocyte/Macrophage
15,Monocyte/Macrophage
16,Fetal/Neonatal Hepatocytes
18,Liver Sinusoidal Endothelial Cells (LSECs)
20,B cells
21,Hepatocytes
22,Hepatic Stellate Cells
23,Liver Sinusoidal Endothelial Cells (LSECs)
24,Proliferating Lymphocytes
25,Activated Macrophage/Kupffer
27,Hepatocytes
