Annotation,cell_type,broadtype,CLID,agreement_score,correct_CLID
b cell,b cell,B cell,CL:0000236,0.5,"CL:0000954, CL:0000826, CL:0000819"
liver sinusoidal endothelial cell,liver sinusoidal endothelial cell,endothelial cell of hepatic sinusoid,CL:1000398,0.5,CL:0000115
neutrophil,neutrophil,neutrophil,CL:0000775,0.5,"CL:0000775, CL:0000096"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
nk cell,nk cell,natural killer cell,CL:0000623,0.0,"CL:0000084, CL:0000825"
nk cell,nk cell,natural killer cell,CL:0000623,0.0,"CL:0000084, CL:0000825"
kupffer cell (activated),kupffer cell (activated),Kupffer cell,CL:0000091,1.0,CL:0000091
b cell,b cell,B cell,CL:0000236,0.5,"CL:0000957, CL:0000954, CL:0000826, CL:0000765, CL:0000819"
erythrocyte progenitors,erythrocyte progenitors,erythrocyte,CL:0000232,0.5,"CL:0000232, CL:0000765"
erythrocyte progenitors,erythrocyte progenitors,erythrocyte,CL:0000232,0.0,"CL:0000765, CL:0000765"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
erythrocyte progenitors,erythrocyte progenitors,erythrocyte,CL:0000232,0.0,"CL:0000765, CL:0000765"
neutrophil,neutrophil,neutrophil,CL:0000775,0.5,"CL:0000775, CL:0000776"
neutrophil,neutrophil,neutrophil,CL:0000775,1.0,CL:0000775
b cell,b cell,B cell,CL:0000236,0.0,"CL:0000451, CL:0000451, CL:0000557, CL:0000451, CL:0000784"
monocytes/macrophage,monocytes/macrophage,macrophage,CL:0000235,0.0,"CL:0000451, CL:0000767, CL:0000576"
hepatoblast,hepatoblast,hepatoblast,CL:0005026,1.0,CL:0005026
neutrophil,neutrophil,neutrophil,CL:0000775,0.5,"CL:0000767, CL:0000775, CL:0000837, CL:0000576, CL:0000557, CL:0000115, CL:0000556, CL:0000765, CL:0000776"
liver sinusoidal endothelial cell,liver sinusoidal endothelial cell,endothelial cell of hepatic sinusoid,CL:1000398,0.5,"CL:1001603, CL:0000115, CL:0000091, CL:0000784"
19,19,fibroblast of periodontium,CL:0002556,0.0,"CL:0000765, CL:0000765"
b cell,b cell,B cell,CL:0000236,0.5,CL:0000819
hepatocyte,hepatocyte,hepatocyte,CL:0000182,0.5,"CL:0000182, CL:0000115, CL:0000784"
hepatic stellate cell,hepatic stellate cell,hepatic stellate cell,CL:0000632,0.5,"CL:0000057, CL:0000077, CL:0000632"
liver sinusoidal endothelial cell,liver sinusoidal endothelial cell,endothelial cell of hepatic sinusoid,CL:1000398,0.5,"CL:0000084, CL:0000115"
nk cell,nk cell,natural killer cell,CL:0000623,0.0,"CL:0000084, CL:0000825"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,0.0,"CL:0005026, CL:1000488, CL:0000115, CL:0000765"
neutrophil,neutrophil,neutrophil,CL:0000775,0.5,"CL:0000775, CL:0000765, CL:0000096"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
