,0
0,B cells
1,Liver Sinusoidal Endothelial Cells
2,Neutrophils
3,Hepatocytes
4,NK cells
6,Kupffer Cells (Activated)
7,B cells
8,Erythroid Progenitors
9,Erythroid Progenitors
10,Hepatocytes
11,Erythroid Progenitors
13,Neutrophils
15,Monocytes/Macrophages
16,Hepatoblast
18,Liver Sinusoidal Endothelial Cells
20,B cells
21,Hepatocytes
22,Hepatic Stellate Cells
23,Liver Sinusoidal Endothelial Cells
24,NK cells
25,Hepatocytes
27,Hepatocytes
5,NK cells
12,Neutrophils
14,B cells
17,Neutrophils
26,Neutrophils
