Annotation,cell_type,broadtype,CLID,agreement_score,correct_CLID
"small pre-b, b, pro-b","small pre-b, pro-b, b","small pre-B-II cell, pro-B cell, B-1 B cell","CL:0000954, CL:0000826, CL:0000819",1.0,"CL:0000954, CL:0000826, CL:0000819"
endothelial cell,endothelial cell,endothelial cell,CL:0000115,1.0,CL:0000115
"intermediate neutrophil, mature neutrophil","intermediate neutrophil, mature neutrophil","neutrophil, mature neutrophil","CL:0000775, CL:0000096",1.0,"CL:0000775, CL:0000096"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
"t, nk","t, nk","T cell, pro-NK cell","CL:0000084, CL:0000825",1.0,"CL:0000084, CL:0000825"
"t, nk","t, nk","T cell, pro-NK cell","CL:0000084, CL:0000825",1.0,"CL:0000084, CL:0000825"
kupffer,kupffer,Kupffer cell,CL:0000091,1.0,CL:0000091
"large pre-b, pro-b, b, small pre-b, pro-erythroblast","large pre-b, small pre-b, pro-b, pro-erythroblast, b","large pre-B-II cell, small pre-B-II cell, pro-B cell, erythroblast, B-1 B cell","CL:0000957, CL:0000954, CL:0000826, CL:0000765, CL:0000819",1.0,"CL:0000957, CL:0000954, CL:0000826, CL:0000765, CL:0000819"
"erythrocyte, erythroblast","erythrocyte, erythroblast","erythrocyte, erythroblast","CL:0000232, CL:0000765",1.0,"CL:0000232, CL:0000765"
"erythroblast, pro-erythroblast","pro-erythroblast, erythroblast","erythroblast, erythroblast","CL:0000765, CL:0000765",1.0,"CL:0000765, CL:0000765"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
"erythroblast, pro-erythroblast","pro-erythroblast, erythroblast","erythroblast, erythroblast","CL:0000765, CL:0000765",1.0,"CL:0000765, CL:0000765"
"intermediate neutrophil, immature neutrophil","intermediate neutrophil, immature neutrophil","neutrophil, immature neutrophil","CL:0000775, CL:0000776",1.0,"CL:0000775, CL:0000776"
intermediate neutrophil,intermediate neutrophil,neutrophil,CL:0000775,1.0,CL:0000775
"classical dendritic cell 1, plasmacytoid dendritic cell, classical dendritic cell 2, activating dendritic cell, granulocyte-monocyte progenitor","activating dendritic cell, classical dendritic cell 2, granulocyte-monocyte progenitor, classical dendritic cell 1, plasmacytoid dendritic cell","dendritic cell, dendritic cell, granulocyte monocyte progenitor cell, dendritic cell, plasmacytoid dendritic cell","CL:0000451, CL:0000451, CL:0000557, CL:0000451, CL:0000784",1.0,"CL:0000451, CL:0000451, CL:0000557, CL:0000451, CL:0000784"
"monocyte, classical dendritic cell 2, basophil","classical dendritic cell 2, basophil, monocyte","dendritic cell, basophil, monocyte","CL:0000451, CL:0000767, CL:0000576",1.0,"CL:0000451, CL:0000767, CL:0000576"
hepatoblast,hepatoblast,hepatoblast,CL:0005026,1.0,CL:0005026
"immature neutrophil, intermediate neutrophil, hematopoietic progenitor cell, monocyte, megakaryocyte, pro-erythroblast, basophil, granulocyte-monocyte progenitor, endothelial cell","basophil, intermediate neutrophil, hematopoietic progenitor cell, monocyte, granulocyte-monocyte progenitor, endothelial cell, megakaryocyte, pro-erythroblast, immature neutrophil","basophil, neutrophil, hematopoietic multipotent progenitor cell, monocyte, granulocyte monocyte progenitor cell, endothelial cell, megakaryocyte, erythroblast, immature neutrophil","CL:0000767, CL:0000775, CL:0000837, CL:0000576, CL:0000557, CL:0000115, CL:0000556, CL:0000765, CL:0000776",1.0,"CL:0000767, CL:0000775, CL:0000837, CL:0000576, CL:0000557, CL:0000115, CL:0000556, CL:0000765, CL:0000776"
"endothelial cell, kupffer, dcn+ macrophages, plasmacytoid dendritic cell","dcn+ macrophages, endothelial cell, kupffer, plasmacytoid dendritic cell","lung macrophage, endothelial cell, Kupffer cell, plasmacytoid dendritic cell","CL:1001603, CL:0000115, CL:0000091, CL:0000784",1.0,"CL:1001603, CL:0000115, CL:0000091, CL:0000784"
"pro-erythroblast, erythroblast","pro-erythroblast, erythroblast","erythroblast, erythroblast","CL:0000765, CL:0000765",1.0,"CL:0000765, CL:0000765"
b,b,B-1 B cell,CL:0000819,1.0,CL:0000819
"hepatocyte, endothelial cell, plasmacytoid dendritic cell","hepatocyte, endothelial cell, plasmacytoid dendritic cell","hepatocyte, endothelial cell, plasmacytoid dendritic cell","CL:0000182, CL:0000115, CL:0000784",1.0,"CL:0000182, CL:0000115, CL:0000784"
"fibroblast, hepatic stellate cell, mesothelial cell","fibroblast, mesothelial cell, hepatic stellate cell","fibroblast, mesothelial cell, hepatic stellate cell","CL:0000057, CL:0000077, CL:0000632",1.0,"CL:0000057, CL:0000077, CL:0000632"
"endothelial cell, t","t, endothelial cell","T cell, endothelial cell","CL:0000084, CL:0000115",1.0,"CL:0000084, CL:0000115"
"nk, t","t, nk","T cell, pro-NK cell","CL:0000084, CL:0000825",1.0,"CL:0000084, CL:0000825"
"cholangiocyte, endothelial cell, pro-erythroblast, hepatoblast","hepatoblast, cholangiocyte, endothelial cell, pro-erythroblast","hepatoblast, cholangiocyte, endothelial cell, erythroblast","CL:0005026, CL:1000488, CL:0000115, CL:0000765",1.0,"CL:0005026, CL:1000488, CL:0000115, CL:0000765"
"intermediate neutrophil, mature neutrophil, erythroblast","intermediate neutrophil, erythroblast, mature neutrophil","neutrophil, erythroblast, mature neutrophil","CL:0000775, CL:0000765, CL:0000096",1.0,"CL:0000775, CL:0000765, CL:0000096"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
