,0
0,B Lymphocyte
1,Liver Sinusoidal Endothelial Cell (LSEC)
2,Neutrophil
3,Mature Hepatocyte
4,T / NK Cell
5,T / NK Cell
6,Kupffer Cell
7,B Lymphocyte
8,Erythrocyte
9,Erythroblast
10,Mature Hepatocyte
11,Erythroblast
12,Immature Neutrophil / Granulocyte
13,Neutrophil
14,Monocyte / Macrophage
15,Monocyte / Macrophage
16,Neonatal Hepatocyte / Hepatoblast
17,Immature Neutrophil / Granulocyte
18,Liver Sinusoidal Endothelial Cell (LSEC)
19,Erythrocyte
20,B Lymphocyte
21,Mature Hepatocyte
22,Hepatic Stellate Cell (HSC)
23,Liver Sinusoidal Endothelial Cell (LSEC)
24,T / NK Cell
25,Cholangiocyte (Bile Duct Cell)
26,Immature Neutrophil / Granulocyte
27,Mature Hepatocyte
