Annotation,cell_type,broadtype,CLID,agreement_score,correct_CLID
b lymphocyte,b lymphocyte,B cell,CL:0000236,0.5,"CL:0000954, CL:0000826, CL:0000819"
liver sinusoidal endothelial cell (endothelial cell),liver sinusoidal endothelial cell (endothelial cell),endothelial cell of hepatic sinusoid,CL:1000398,0.5,CL:0000115
neutrophil,neutrophil,neutrophil,CL:0000775,0.5,"CL:0000775, CL:0000096"
mature hepatocyte,mature hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
t / nk cell,t / nk cell,mature NK T cell,CL:0000814,0.5,"CL:0000084, CL:0000825"
t / nk cell,t / nk cell,mature NK T cell,CL:0000814,0.5,"CL:0000084, CL:0000825"
kupffer cell,kupffer cell,Kupffer cell,CL:0000091,1.0,CL:0000091
b lymphocyte,b lymphocyte,B cell,CL:0000236,0.5,"CL:0000954, CL:0000826, CL:0000819, CL:0000957, CL:0000765"
erythroblast,erythroblast,erythroblast,CL:0000765,0.5,"CL:0000232, CL:0000765"
erythroblast,erythroblast,erythroblast,CL:0000765,1.0,"CL:0000765, CL:0000765"
mature hepatocyte,mature hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
erythroblast,erythroblast,erythroblast,CL:0000765,1.0,"CL:0000765, CL:0000765"
neutrophil,neutrophil,neutrophil,CL:0000775,0.5,"CL:0000776, CL:0000775"
neutrophil,neutrophil,neutrophil,CL:0000775,1.0,CL:0000775
monocyte / macrophage,monocyte / macrophage,monocyte,CL:0000576,0.0,"CL:0000557, CL:0000451, CL:0000451, CL:0000451, CL:0000784"
monocyte / macrophage,monocyte / macrophage,monocyte,CL:0000576,0.5,"CL:0000576, CL:0000451, CL:0000767"
mature hepatocyte,mature hepatocyte,hepatocyte,CL:0000182,0.0,CL:0005026
neutrophil,neutrophil,neutrophil,CL:0000775,0.5,"CL:0000115, CL:0000576, CL:0000557, CL:0000556, CL:0000776, CL:0000775, CL:0000767, CL:0000765, CL:0000837"
liver sinusoidal endothelial cell (endothelial cell),liver sinusoidal endothelial cell (endothelial cell),endothelial cell of hepatic sinusoid,CL:1000398,0.5,"CL:0000115, CL:0000091, CL:1001603, CL:0000784"
erythrocyte,erythrocyte,erythrocyte,CL:0000232,0.0,"CL:0000765, CL:0000765"
b lymphocyte,b lymphocyte,B cell,CL:0000236,0.5,CL:0000819
mature hepatocyte,mature hepatocyte,hepatocyte,CL:0000182,0.5,"CL:0000115, CL:0000182, CL:0000784"
hepatic stellate cell (hsc),hepatic stellate cell (hsc),hepatic stellate cell,CL:0000632,0.5,"CL:0000632, CL:0000077, CL:0000057"
liver sinusoidal endothelial cell (endothelial cell),liver sinusoidal endothelial cell (endothelial cell),endothelial cell of hepatic sinusoid,CL:1000398,0.5,"CL:0000115, CL:0000084"
t / nk cell,t / nk cell,mature NK T cell,CL:0000814,0.5,"CL:0000084, CL:0000825"
cholangiocyte (bile duct cell),cholangiocyte (bile duct cell),cholangiocyte,CL:1000488,0.5,"CL:0000115, CL:0005026, CL:1000488, CL:0000765"
erythroblast,erythroblast,erythroblast,CL:0000765,0.5,"CL:0000775, CL:0000096, CL:0000765"
mature hepatocyte,mature hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
