,0
0,B Cells (Developing/Progenitor)
1,Liver Sinusoidal Endothelial Cells (LSECs)
2,Neutrophils
3,Hepatocytes (Potential Subtype/Zonal)
4,NK Cells / T Cells (Cytotoxic/CD8+)
5,T Cells
6,Kupffer Cells (Resident Macrophages)
7,B Cells (Developing/Progenitor)
8,Erythroid Cells (Mature)
9,Erythroid Cells (Mature)
10,Hepatocytes (Potential Subtype/Zonal)
11,Erythroid Cells (Progenitor/Immature)
12,Neutrophils
13,Neutrophils
14,Dendritic Cells
15,Monocytes
16,Hepatoblasts (Neonatal)
17,Macrophages (Non-Kupffer/Infiltrating)
18,Liver Sinusoidal Endothelial Cells (LSECs)
19,Erythroid Cells (Progenitor/Immature)
20,B Cells
21,Hepatocytes (Mature/General)
22,Hepatic Stellate Cells (HSCs)
23,Liver Sinusoidal Endothelial Cells (LSECs)
24,NK Cells / T Cells (Cytotoxic/CD8+)
25,Cholangiocytes (Biliary Epithelial Cells)
26,Erythroid Cells (Progenitor/Immature)
27,Hepatocytes (Potential Subtype/Zonal)
