,0
0,B Cell
1,Liver Sinusoidal Endothelial Cell (LSEC)
2,Neutrophil
3,Hepatocyte (Mature)
4,Monocyte / Macrophage (Non-Kupffer)
5,T Cell (Cytotoxic)
6,Monocyte / Macrophage (Non-Kupffer)
7,B Cell
8,Erythroblast
9,Erythroblast
10,Hepatocyte (Mature)
11,Erythroblast
12,Neutrophil
13,Neutrophil
14,Monocyte / Macrophage (Non-Kupffer)
15,Monocyte / Macrophage (Non-Kupffer)
16,Hepatocyte (Mature)
17,Neutrophil
18,Liver Sinusoidal Endothelial Cell (LSEC)
19,Erythroblast
20,B Cell
21,Hepatocyte (Mature)
22,Monocyte / Macrophage (Non-Kupffer)
23,Liver Sinusoidal Endothelial Cell (LSEC)
24,Monocyte / Macrophage (Non-Kupffer)
25,Hepatocyte (Mature)
26,Monocyte / Macrophage (Non-Kupffer)
27,Hepatocyte (Mature)
