Annotation,cell_type,broadtype,CLID,agreement_score,correct_CLID
"small pre-b, b, pro-b","b, small pre-b, pro-b","B-1 B cell, small pre-B-II cell, pro-B cell","CL:0000819, CL:0000954, CL:0000826",1.0,"CL:0000819, CL:0000954, CL:0000826"
endothelial cell,endothelial cell,endothelial cell,CL:0000115,1.0,CL:0000115
"intermediate neutrophil, mature neutrophil","mature neutrophil, intermediate neutrophil","mature neutrophil, neutrophil","CL:0000096, CL:0000775",1.0,"CL:0000096, CL:0000775"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
"t, nk","t, nk","T cell, pro-NK cell","CL:0000084, CL:0000825",1.0,"CL:0000084, CL:0000825"
"t, nk","t, nk","T cell, pro-NK cell","CL:0000084, CL:0000825",1.0,"CL:0000084, CL:0000825"
kupffer,kupffer,Kupffer cell,CL:0000091,1.0,CL:0000091
"large pre-b, pro-b, b, small pre-b, pro-erythroblast","b, large pre-b, small pre-b, pro-erythroblast, pro-b","B-1 B cell, large pre-B-II cell, small pre-B-II cell, erythroblast, pro-B cell","CL:0000819, CL:0000957, CL:0000954, CL:0000765, CL:0000826",1.0,"CL:0000819, CL:0000957, CL:0000954, CL:0000765, CL:0000826"
"erythrocyte, erythroblast","erythrocyte, erythroblast","erythrocyte, erythroblast","CL:0000232, CL:0000765",1.0,"CL:0000232, CL:0000765"
"erythroblast, pro-erythroblast","erythroblast, pro-erythroblast","erythroblast, erythroblast","CL:0000765, CL:0000765",1.0,"CL:0000765, CL:0000765"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
"erythroblast, pro-erythroblast","erythroblast, pro-erythroblast","erythroblast, erythroblast","CL:0000765, CL:0000765",1.0,"CL:0000765, CL:0000765"
"intermediate neutrophil, immature neutrophil","intermediate neutrophil, immature neutrophil","neutrophil, immature neutrophil","CL:0000775, CL:0000776",1.0,"CL:0000775, CL:0000776"
intermediate neutrophil,intermediate neutrophil,neutrophil,CL:0000775,1.0,CL:0000775
"classical dendritic cell 1, plasmacytoid dendritic cell, classical dendritic cell 2, activating dendritic cell, granulocyte-monocyte progenitor","classical dendritic cell 2, plasmacytoid dendritic cell, classical dendritic cell 1, granulocyte-monocyte progenitor, activating dendritic cell","dendritic cell, plasmacytoid dendritic cell, dendritic cell, granulocyte monocyte progenitor cell, dendritic cell","CL:0000451, CL:0000784, CL:0000451, CL:0000557, CL:0000451",1.0,"CL:0000451, CL:0000784, CL:0000451, CL:0000557, CL:0000451"
"monocyte, classical dendritic cell 2, basophil","basophil, classical dendritic cell 2, monocyte","basophil, dendritic cell, monocyte","CL:0000767, CL:0000451, CL:0000576",1.0,"CL:0000767, CL:0000451, CL:0000576"
hepatoblast,hepatoblast,hepatoblast,CL:0005026,1.0,CL:0005026
"immature neutrophil, intermediate neutrophil, hematopoietic progenitor cell, monocyte, megakaryocyte, pro-erythroblast, basophil, granulocyte-monocyte progenitor, endothelial cell","endothelial cell, megakaryocyte, basophil, intermediate neutrophil, pro-erythroblast, monocyte, hematopoietic progenitor cell, granulocyte-monocyte progenitor, immature neutrophil","endothelial cell, megakaryocyte, basophil, neutrophil, erythroblast, monocyte, hematopoietic multipotent progenitor cell, granulocyte monocyte progenitor cell, immature neutrophil","CL:0000115, CL:0000556, CL:0000767, CL:0000775, CL:0000765, CL:0000576, CL:0000837, CL:0000557, CL:0000776",1.0,"CL:0000115, CL:0000556, CL:0000767, CL:0000775, CL:0000765, CL:0000576, CL:0000837, CL:0000557, CL:0000776"
"endothelial cell, kupffer, dcn+ macrophages, plasmacytoid dendritic cell","endothelial cell, plasmacytoid dendritic cell, dcn+ macrophages, kupffer","endothelial cell, plasmacytoid dendritic cell, lung macrophage, Kupffer cell","CL:0000115, CL:0000784, CL:1001603, CL:0000091",1.0,"CL:0000115, CL:0000784, CL:1001603, CL:0000091"
"pro-erythroblast, erythroblast","erythroblast, pro-erythroblast","erythroblast, erythroblast","CL:0000765, CL:0000765",1.0,"CL:0000765, CL:0000765"
b,b,B-1 B cell,CL:0000819,1.0,CL:0000819
"hepatocyte, endothelial cell, plasmacytoid dendritic cell","endothelial cell, plasmacytoid dendritic cell, hepatocyte","endothelial cell, plasmacytoid dendritic cell, hepatocyte","CL:0000115, CL:0000784, CL:0000182",1.0,"CL:0000115, CL:0000784, CL:0000182"
"fibroblast, hepatic stellate cell, mesothelial cell","fibroblast, mesothelial cell, hepatic stellate cell","fibroblast, mesothelial cell, hepatic stellate cell","CL:0000057, CL:0000077, CL:0000632",1.0,"CL:0000057, CL:0000077, CL:0000632"
"endothelial cell, t","t, endothelial cell","T cell, endothelial cell","CL:0000084, CL:0000115",1.0,"CL:0000084, CL:0000115"
"nk, t","t, nk","T cell, pro-NK cell","CL:0000084, CL:0000825",1.0,"CL:0000084, CL:0000825"
"cholangiocyte, endothelial cell, pro-erythroblast, hepatoblast","endothelial cell, cholangiocyte, hepatoblast, pro-erythroblast","endothelial cell, cholangiocyte, hepatoblast, erythroblast","CL:0000115, CL:1000488, CL:0005026, CL:0000765",1.0,"CL:0000115, CL:1000488, CL:0005026, CL:0000765"
"intermediate neutrophil, mature neutrophil, erythroblast","mature neutrophil, erythroblast, intermediate neutrophil","mature neutrophil, erythroblast, neutrophil","CL:0000096, CL:0000765, CL:0000775",1.0,"CL:0000096, CL:0000765, CL:0000775"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
