,0
0,B Cell
1,Liver Sinusoidal Endothelial Cell (LSEC)
2,Neutrophil
3,Hepatocyte (Mature)
4,NK Cell
5,T Cell (Cytotoxic)
6,Kupffer Cell
7,B Cell
8,Erythrocyte
9,Erythrocyte
10,Hepatocyte (Mature)
11,Erythrocyte
12,Neutrophil
13,Neutrophil
14,Monocyte / Macrophage (Non-Kupffer)
15,Monocyte / Macrophage (Non-Kupffer)
16,Hepatoblast / Immature Hepatocyte
17,Neutrophil
18,Liver Sinusoidal Endothelial Cell (LSEC)
19,Erythroblast
20,B Cell
21,Hepatocyte (Mature)
22,Hepatic Stellate Cell (HSC)
23,Liver Sinusoidal Endothelial Cell (LSEC)
24,NK Cell
25,Hepatoblast / Immature Hepatocyte
26,Neutrophil
27,Hepatocyte (Mature)
