,0
0,Proliferating B Lymphocytes
1,Liver Sinusoidal Endothelial Cells (LSECs)
2,Neutrophils
3,Hepatocytes
4,NKT cells
5,T Cells
6,Kupffer Cells
7,Proliferating B Lymphocytes
8,Erythroblasts
9,Proliferating Erythroblasts
10,Hepatocytes
11,Proliferating Erythroblasts
12,Proliferating Neutrophils
13,Neutrophils
14,B Lymphocytes
15,Monocytes
16,Hepatocytes (Neonatal/Hepatoblast-like)
17,Proliferating Monocytes
18,Liver Sinusoidal Endothelial Cells (LSECs)
19,Proliferating Erythroblasts
20,B Lymphocytes
21,Hepatocytes
22,Hepatic Stellate Cells (HSCs)
23,Vascular Endothelial Cells (non-LSEC)
24,Proliferating Lymphocytes
25,Cholangiocytes
26,Neutrophils
27,Hepatocytes
