Annotation,cell_type,broadtype,CLID,agreement_score,correct_CLID
proliferating b lymphocyte,proliferating b lymphocyte,cycling B cell,CL:4033068,0.0,"CL:0000819, CL:0000954, CL:0000826"
endothelial cell,endothelial cell,endothelial cell,CL:0000115,1.0,CL:0000115
neutrophil,neutrophil,neutrophil,CL:0000775,0.5,"CL:0000096, CL:0000775"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
natural killer (nk) cell,natural killer (nk) cell,natural killer cell,CL:0000623,0.0,"CL:0000825, CL:0000084"
natural killer (nk) cell,natural killer (nk) cell,natural killer cell,CL:0000623,0.0,"CL:0000825, CL:0000084"
kupffer cell,kupffer cell,Kupffer cell,CL:0000091,1.0,CL:0000091
proliferating neutrophils,proliferating neutrophils,cycling monocyte,CL:4033073,0.0,"CL:0000765, CL:0000819, CL:0000957, CL:0000954, CL:0000826"
erythrocyte cell,erythrocyte cell,erythrocyte,CL:0000232,0.5,"CL:0000232, CL:0000765"
proliferating neutrophils,proliferating neutrophils,cycling monocyte,CL:4033073,0.0,"CL:0000765, CL:0000765"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
proliferating neutrophils,proliferating neutrophils,cycling monocyte,CL:4033073,0.0,"CL:0000765, CL:0000765"
proliferating neutrophils,proliferating neutrophils,cycling monocyte,CL:4033073,0.0,"CL:0000776, CL:0000775"
neutrophil,neutrophil,neutrophil,CL:0000775,1.0,CL:0000775
proliferating myeloid cell,proliferating myeloid cell,cycling myeloid cell,CL:4033081,0.0,"CL:0000451, CL:0000451, CL:0000451, CL:0000784, CL:0000557"
monocyte/macrophage,monocyte/macrophage,monocyte,CL:0000576,0.5,"CL:0000451, CL:0000767, CL:0000576"
neonatal hepatocyte,neonatal hepatocyte,hepatocyte,CL:0000182,0.0,CL:0005026
proliferating myeloid cell,proliferating myeloid cell,cycling myeloid cell,CL:4033081,0.0,"CL:0000765, CL:0000767, CL:0000557, CL:0000776, CL:0000556, CL:0000115, CL:0000775, CL:0000837, CL:0000576"
memory b cell,memory b cell,memory B cell,CL:0000787,0.0,"CL:0000091, CL:0000784, CL:0000115, CL:1001603"
proliferating erythrocyte cell,proliferating erythrocyte cell,erythrocyte,CL:0000232,0.0,"CL:0000765, CL:0000765"
b lymphocyte,b lymphocyte,B cell,CL:0000236,0.5,CL:0000819
hepatocyte,hepatocyte,hepatocyte,CL:0000182,0.5,"CL:0000182, CL:0000784, CL:0000115"
hsc,hsc,hematopoietic stem cell,CL:0000037,0.0,"CL:0000632, CL:0000077, CL:0000057"
proliferating endothelial cell,proliferating endothelial cell,cycling endothelial cell of lymphatic vessel,CL:4033079,0.5,"CL:0000084, CL:0000115"
proliferating nk cell,proliferating nk cell,pro-NK cell,CL:0000825,0.5,"CL:0000825, CL:0000084"
endothelial cell,endothelial cell,endothelial cell,CL:0000115,0.5,"CL:0000765, CL:0005026, CL:0000115, CL:1000488"
proliferating neutrophils,proliferating neutrophils,cycling monocyte,CL:4033073,0.0,"CL:0000096, CL:0000765, CL:0000775"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
