,0
0,Proliferating B Lymphocyte
1,LSEC
2,Neutrophil
3,Hepatocyte
4,Natural Killer (NK) Cells
5,Natural Killer (NK) Cells
6,Kupffer Cell
7,Proliferating Neutrophils
8,Erythroid Cell
9,Proliferating Neutrophils
10,Hepatocyte
11,Proliferating Neutrophils
12,Proliferating Neutrophils
13,Neutrophil
14,Proliferating Myeloid Cell
15,Monocyte/Macrophage
16,Neonatal Hepatocyte
17,Proliferating Myeloid Cell
18,Memory B Cells
19,Proliferating Erythroid Cell
20,B Lymphocyte
21,Hepatocyte
22,HSC
23,Proliferating LSEC
24,Proliferating NK Cells
25,LSEC
26,Proliferating Neutrophils
27,Hepatocyte
