,0
0,Proliferating B Lymphocyte
1,LSEC
2,Neutrophil
3,Hepatocyte
4,Monocyte/Macrophage
5,T Cells
6,Kupffer Cell
7,Proliferating B Lymphocyte
8,Erythroid Cell
9,Erythroid Cell
10,Hepatocyte
11,Proliferating Erythroid Cell
12,Proliferating Myeloid Cell
13,Neutrophil
14,Proliferating Myeloid Cell
15,Monocyte/Macrophage
16,Neonatal Hepatocyte
17,Proliferating Myeloid Cell
18,LSEC
19,Proliferating Erythroid Cell
20,B Lymphocyte
21,Hepatocyte
22,HSC
23,Proliferating LSEC
24,Proliferating Monocyte/Macrophage
25,LSEC
26,Proliferating Myeloid Cell
27,Hepatocyte
