Annotation,cell_type,broadtype,CLID,agreement_score,correct_CLID
rod,rod,retinal rod cell,CL:0000604,1.0,CL:0000604
rod,rod,retinal rod cell,CL:0000604,1.0,CL:0000604
retinal ganglion cell,retinal ganglion cell,retinal ganglion cell,CL:0000740,0.0,CL:0000636
on-bipolar cell,on-bipolar cell,ON-bipolar cell,CL:0000749,1.0,CL:0000749
on-bipolar cell,on-bipolar cell,ON-bipolar cell,CL:0000749,1.0,CL:0000749
müller glia cell,müller glia cell,Mueller cell,CL:0000636,1.0,CL:0000636
rod,rod,retinal rod cell,CL:0000604,1.0,CL:0000604
rod,rod,retinal rod cell,CL:0000604,1.0,CL:0000604
rod,rod,retinal rod cell,CL:0000604,1.0,CL:0000604
müller glia cell,müller glia cell,Mueller cell,CL:0000636,0.5,"CL:0000636, CL:0000561"
müller glia cell,müller glia cell,Mueller cell,CL:0000636,1.0,CL:0000636
müller glia cell,müller glia cell,Mueller cell,CL:0000636,1.0,CL:0000636
müller glia cell,müller glia cell,Mueller cell,CL:0000636,1.0,CL:0000636
cone photoreceptors,cone photoreceptors,retinal cone cell,CL:0000573,1.0,CL:0000573
rod,rod,retinal rod cell,CL:0000604,0.0,CL:0000740
unknown cell type,unknown cell type,type IIx muscle cell,CL:4052026,0.0,"CL:0000115, CL:0000129"
horizontal cell,horizontal cell,retina horizontal cell,CL:0000745,1.0,CL:0000745
unknown cell type,unknown cell type,type IIx muscle cell,CL:4052026,0.0,"CL:0000749, CL:0000561"
unknown cell type,unknown cell type,type IIx muscle cell,CL:4052026,0.0,"CL:0000749, CL:0000561"
