,0
0,B Cell
1,Hepatic Stellate Cell/Fibroblast
2,Neutrophil
3,Mature Hepatocyte
4,Cytotoxic Lymphocytes (NK / CD8 T cells)
6,Monocyte/Macrophage
7,Proliferating B Cells
8,Erythrocyte
9,Proliferating Lymphocytes
10,Mature Hepatocyte
11,Proliferating Lymphocytes
12,Proliferating Cells
13,Neutrophil
15,Monocyte/Macrophage
16,Hepatoblast / Neonatal Hepatocyte
18,Hepatic Stellate Cell/Fibroblast
20,Proliferating B Cells
21,Mature Hepatocyte
22,Hepatic Stellate Cell/Fibroblast
24,Proliferating Cells
27,Mature Hepatocyte
5,Cytotoxic Lymphocytes (NK / CD8 T cells)
19,Proliferating Lymphocytes
25,Hepatic Stellate Cell/Fibroblast
